解智元,1,9672-1592557602,38,Wal-Mart Stores,Bismarck
东门金平,1,6423-1583755719,21,京东,石家庄
逄可,0,7914-1485596496,41,京东,内蒙古
公西亚,0,6423-1620567309,23,拼多多,石家庄
殷信雪,0,0169-1712867213,38,Wal-Mart Stores,Columbia
边苑,0,0566-1795150308,28,天猫,武汉
红盛,1,1241-1429625488,37,Wal-Mart Stores,成都
马亨,1,3629-1565763385,37,京东,拉萨
荀易雁,0,0297-1581326944,30,聚划算,Jackson
方婵,0,3629-1444599536,34,Wal-Mart Stores,拉萨
房文,1,9672-1362261966,42,京东,Bismarck
凤无楠,1,6423-1404216655,32,拼多多,石家庄
骆凯心,1,5291-1388224393,31,京东,Detroit
闻人忠平,1,5291-1465267646,51,天猫,Detroit
孙端以,1,1241-1708820410,41,Wal-Mart Stores,成都
殷马顺,1,7914-1632701207,46,拼多多,内蒙古
危好娥,0,5291-1407693052,24,京东,Detroit
戴欢,0,1084-1736955425,26,京东,重庆
水平,1,4439-1744439054,27,淘宝,Austin
方电琳,0,0566-1449654582,44,唯品会,武汉
诸上航,1,9672-1573606690,26,Amazon.com,Bismarck
澹台易弘,1,6423-1362039827,35,蘑菇街,石家庄
林信莉,0,7914-1621589279,36,Wal-Mart Stores,内蒙古
华玉冠,1,4439-1658188828,28,聚划算,Austin
季友欢,0,0297-1577385972,28,蘑菇街,Jackson
宋都姣,0,1241-1673880249,34,Wal-Mart Stores,成都
容嘉,0,0297-1489385201,25,Costco Wholesale,Jackson
韩器飘,0,3629-1444213251,23,唯品会,拉萨
鲁无行,1,3629-1376649019,44,拼多多,拉萨
尚建,1,3995-1502920474,45,拼多多,北京
壤驷美,0,7914-1779188100,27,Schwarz Group,内蒙古
戴钰山,1,9672-1441553147,18,Amazon.com,Bismarck
杭新,1,3995-1626681853,41,Costco Wholesale,北京
宗政艺,0,7914-1402816224,38,聚划算,内蒙古
凌智青,0,1084-1717147459,22,聚划算,重庆
冯凯宜,0,3629-1768422041,29,Wal-Mart Stores,拉萨
范好月,0,5291-1660467949,32,Costco Wholesale,Detroit
隗卿,0,3995-1438738628,46,天猫,北京
罗无士,1,0566-1732438190,40,Schwarz Group,武汉
隗中泰,1,4439-1361604152,41,Amazon.com,Austin
魏茂,1,0297-1698714298,35,The Kroger,Jackson
吉金奇,1,5291-1442263618,19,天猫,Detroit
伍会,1,1193-1756096916,27,拼多多,长沙
顾毅,1,9672-1533950171,43,京东,Bismarck
戚好有,1,1193-1783416068,34,Wal-Mart Stores,长沙
闾丘金爱,0,3629-1673292112,17,淘宝,拉萨
江江,1,0169-1530729395,43,拼多多,Columbia
殷信雪,0,4439-1712867213,37,Wal-Mart Stores,Austin
纪友健,1,7914-1409394189,29,拼多多,内蒙古
舒好厚,1,0566-1710844807,16,蘑菇街,武汉
呼延亨,1,1084-1443915667,32,唯品会,重庆
何凡,0,6423-1425004501,47,蘑菇街,石家庄
吴孝奇,1,9672-1640233937,46,淘宝,Bismarck
晏奇,1,0566-1334063421,48,京东,武汉
赵仁,1,0566-1456314121,42,蘑菇街,武汉
关亮,1,7914-1507185311,48,京东,内蒙古
苍豪,1,1193-1642901280,37,唯品会,长沙
刁好莉,0,3995-1614295258,24,天猫,北京
秦信咏,0,1084-1574684500,18,Wal-Mart Stores,重庆
丁玉馨,0,7914-1506666125,33,唯品会,内蒙古
狄菲,0,0169-1690885311,43,天猫,Columbia
叔申歌蓉,0,1193-1539908286,41,蘑菇街,长沙
里东被芬,0,7914-1449665358,45,淘宝,内蒙古
程礼菁,0,7914-1549414965,32,拼多多,内蒙古
巴欢,0,1084-1605785158,38,Costco Wholesale,重庆
陆礼芝,0,1241-1707944163,18,唯品会,成都
容嘉,0,9379-1489385201,25,Costco Wholesale,Philadelphia
韦莉,0,1241-1374440491,23,唯品会,成都
骆无德,1,4439-1431079747,43,唯品会,Austin
门南忠星,1,7914-1730030697,23,Schwarz Group,内蒙古
熊婉,0,3995-1523434903,23,京东,北京
迟公苑,0,3629-1456839517,33,Amazon.com,拉萨
周马桂,0,1241-1315591152,30,京东,成都
车爽,0,5291-1683079175,27,拼多多,Detroit
应蓓,0,7914-1715424902,46,Wal-Mart Stores,内蒙古
杜心,1,3995-1409461180,35,唯品会,北京
邴娜,0,0169-1739961737,42,京东,Columbia
郝伊,0,0297-1691667597,35,Schwarz Group,Jackson
房震,1,5291-1762919767,39,京东,Detroit
益电凤,0,1241-1693133977,21,Amazon.com,成都
姚明,1,3995-1329015092,24,Amazon.com,北京
仲孙承,1,0169-1379284477,40,聚划算,Columbia
宗利,1,5291-1300061689,48,The Kroger,Detroit
鲜于中谦,1,1193-1695472815,33,天猫,长沙
柳友康,1,0566-1415429441,35,Wal-Mart Stores,武汉
楚好影,0,3995-1511404046,37,Amazon.com,北京
邓环,0,1084-1477137315,43,淘宝,重庆
尚信杰,1,0297-1492922801,47,Amazon.com,Jackson
农仁楠,1,9379-1731142001,25,京东,Philadelphia
长孙盛,1,6423-1724913099,18,天猫,石家庄
乐宁,0,0566-1613168918,29,天猫,武汉
李电姬,0,5291-1707572735,23,Schwarz Group,Detroit
邴伯,1,9672-1676268013,41,聚划算,Bismarck
衡平,1,7914-1310062299,40,淘宝,内蒙古
伊佳,0,0566-1419228029,49,The Kroger,武汉
葛霄,0,1193-1528591390,39,拼多多,长沙
狄友,1,7914-1740221827,43,唯品会,内蒙古
姬器瑶,0,3629-1362189490,28,Costco Wholesale,拉萨
舒被进,1,0297-1630705359,15,淘宝,Jackson
谷腾,1,4439-1405351984,26,Wal-Mart Stores,Austin
令狐卡媛,0,3995-1304497463,31,淘宝,北京
陈好心,1,0566-1319437727,22,Costco Wholesale,武汉
秦礼成,1,0566-1430470617,33,蘑菇街,武汉
施九昭,0,1193-1451342408,19,Amazon.com,长沙
谷琬,0,1084-1421366608,30,淘宝,重庆
邴建,1,7914-1467397440,43,Wal-Mart Stores,内蒙古
龚电鸣,1,0297-1626582055,26,Wal-Mart Stores,Jackson
沃马彪,1,1241-1558402290,38,天猫,成都
秦友霞,0,1241-1447193244,47,聚划算,成都
曹信会,1,7914-1627312116,25,The Kroger,内蒙古
弓家,1,6423-1338096499,25,天猫,石家庄
侯贞,0,4439-1548767175,36,拼多多,Austin
孟芸,0,3629-1492963235,36,Schwarz Group,拉萨
计悦,0,1241-1481927905,21,天猫,成都
牛芬,0,1241-1425301372,45,The Kroger,成都
伍江,1,6423-1575478272,44,Costco Wholesale,石家庄
司空忠波,1,3629-1679927742,29,聚划算,拉萨
万泽,1,6423-1611362075,33,蘑菇街,石家庄
楚雄,1,0566-1573856918,41,蘑菇街,武汉
林才,1,1241-1501928272,39,The Kroger,成都
双忠娅,0,1084-1720347538,18,聚划算,重庆
苏河,1,3995-1383564609,44,拼多多,北京
奚无薇,0,1193-1586847006,20,蘑菇街,长沙
奚萍,0,9672-1395084179,25,淘宝,Bismarck
尚伟,1,1193-1604780206,40,京东,长沙
弓信军,1,5291-1507414711,47,京东,Detroit
冀霄,0,5291-1773390260,42,Amazon.com,Detroit
丁礼蕊,0,3629-1518365556,39,蘑菇街,拉萨
焦影,0,3995-1320067110,35,京东,北京
柯好鹏,1,9672-1336708311,44,淘宝,Bismarck
戈贞,0,1241-1584441981,35,天猫,成都
谢婷,0,1084-1647137454,38,Wal-Mart Stores,重庆
徒司融,0,9379-1613442374,41,The Kroger,Philadelphia
荀绍,1,0169-1679921522,40,Wal-Mart Stores,Columbia
郎易琼,0,6423-1608770219,27,Costco Wholesale,石家庄
孟好蕊,0,4439-1687169513,42,Schwarz Group,Austin
卜时,1,5291-1785081038,27,蘑菇街,Detroit
强彩,0,1241-1774822241,45,天猫,成都
纪义,1,4439-1750118973,47,Costco Wholesale,Austin
戚友林,1,3629-1750664107,39,聚划算,拉萨
齐钰进,1,3629-1334582106,24,唯品会,拉萨
益莲,0,5291-1469333220,44,京东,Detroit
宁平,1,5291-1564337432,20,Schwarz Group,Detroit
邴礼冠,1,9672-1552199700,19,Schwarz Group,Bismarck
卞黛,0,3995-1712048313,44,The Kroger,北京
公九影,0,6423-1589754634,42,聚划算,石家庄
傅都子,1,0169-1376400546,41,淘宝,Columbia
岑贝宁,1,1241-1411973350,46,唯品会,成都
黄中静,0,5291-1365977229,42,聚划算,Detroit
正壤淑,0,9672-1516596348,45,拼多多,Bismarck
宁仁,1,1241-1480179333,39,The Kroger,成都
狐钟孝可,0,0566-1730137246,31,唯品会,武汉
鲍友云,0,6423-1348894449,30,Amazon.com,石家庄
穆易馨,0,9672-1691640123,44,Wal-Mart Stores,Bismarck
甄孝霭,0,1193-1757045521,24,Schwarz Group,长沙
门南忠星,1,1084-1730030697,20,Schwarz Group,重庆
申屠上仪,0,3995-1499564885,24,蘑菇街,北京
盖佳,0,3629-1624928267,26,淘宝,拉萨
丁智振,1,1193-1344787301,45,The Kroger,长沙
冉歌泽,1,3995-1314280231,38,Wal-Mart Stores,北京
车玉媛,0,7914-1439329726,23,The Kroger,内蒙古
双孝伊,0,1241-1588868713,32,唯品会,成都
乐环,0,3629-1793358060,41,Wal-Mart Stores,拉萨
牛易宏,1,1193-1397222998,33,聚划算,长沙
贺贝梅,0,3629-1606435996,35,蘑菇街,拉萨
丘司欢,0,1084-1507729132,46,天猫,重庆
夏孝珊,0,7914-1516910984,35,Costco Wholesale,内蒙古
甄玉震,1,6423-1760106255,42,Costco Wholesale,石家庄
殴上筠,0,0566-1738616500,24,京东,武汉
仲孙承,1,4439-1379284477,36,聚划算,Austin
宗都东,1,3629-1491338944,38,Wal-Mart Stores,拉萨
贝娅,0,9672-1592854428,46,Wal-Mart Stores,Bismarck
焦礼岚,0,5291-1576256699,35,Amazon.com,Detroit
胡电力,1,3629-1664227017,43,京东,拉萨
江义眉,0,0566-1603583633,35,Costco Wholesale,武汉
林才,1,1193-1501928272,34,The Kroger,长沙
左风,1,1193-1729081793,23,唯品会,长沙
姬金澜,0,3995-1785886055,29,拼多多,北京
柯卡雁,0,1241-1361305639,49,天猫,成都
弓家,1,0566-1338096499,30,天猫,武汉
施上凝,0,4439-1634082561,38,Wal-Mart Stores,Austin
成智进,1,3995-1602438138,40,The Kroger,北京
令狐卡媛,0,6423-1304497463,34,淘宝,石家庄
古建,1,9672-1419852258,40,聚划算,Bismarck
潘加婵,0,4439-1472824038,41,Amazon.com,Austin
羊无媛,0,9379-1447333989,41,Schwarz Group,Philadelphia
芮馥,0,0297-1567543128,22,唯品会,Jackson
郝伊,0,9379-1691667597,35,Schwarz Group,Philadelphia
尉迟金雅,0,0169-1358604866,31,Costco Wholesale,Columbia
关卡壮,1,3995-1679367706,23,The Kroger,北京
衡器健,1,6423-1409473614,50,京东,石家庄
仇中腾,1,1241-1690132193,40,The Kroger,成都
曹凯榕,1,6423-1541908906,49,唯品会,石家庄
潘学,1,0169-1536310666,23,唯品会,Columbia
卢琼,0,0566-1423157182,25,Wal-Mart Stores,武汉
万泽,1,0566-1611362075,33,蘑菇街,武汉
苗燕,0,9672-1606793129,39,淘宝,Bismarck
强凯以,1,3995-1789702033,18,京东,北京
叶义可,0,4439-1659109711,44,Costco Wholesale,Austin
仇中腾,1,6423-1690132193,35,The Kroger,石家庄
林凤,0,1241-1409556189,20,Costco Wholesale,成都
向好之,1,1084-1628182065,22,Wal-Mart Stores,重庆
甄蓉,0,1084-1589093600,33,淘宝,重庆
焦歌英,0,5291-1499928786,30,Costco Wholesale,Detroit
茅贝韵,0,0566-1334596602,43,聚划算,武汉
甄蓉,0,3995-1589093600,32,淘宝,北京
常笑霞,0,0297-1649010098,38,蘑菇街,Jackson
孟芸,0,0566-1799703945,30,唯品会,武汉
邓德,1,1193-1544876640,29,天猫,长沙
麻颖,0,3629-1313452322,47,Amazon.com,拉萨
桓贞,0,3995-1385031785,42,拼多多,北京
姬钰悦,0,0297-1571815167,37,淘宝,Jackson
解保,1,5291-1556891797,46,唯品会,Detroit
谢婷,0,3995-1647137454,42,Wal-Mart Stores,北京
朱笑香,0,9672-1400952822,25,Costco Wholesale,Bismarck
叶凯祥,1,3629-1527483046,19,唯品会,拉萨
衡器健,1,1241-1409473614,48,京东,成都
边婕,0,6423-1528757418,18,Amazon.com,石家庄
常金新,1,3995-1571822740,26,天猫,北京
富军,1,6423-1620304227,44,淘宝,石家庄
瞿秋,0,3629-1718272439,18,聚划算,拉萨
尹文,1,9379-1319514807,37,天猫,Philadelphia
时信,1,3629-1594377997,42,淘宝,拉萨
郎易琼,0,1241-1608770219,28,Costco Wholesale,成都
徒司伯,1,4439-1498601116,20,Schwarz Group,Austin
梅学,1,9672-1324012634,32,The Kroger,Bismarck
冉青,0,6423-1629231919,23,京东,石家庄
石好利,1,6423-1764815897,35,天猫,石家庄
于闾子,1,0297-1570153210,27,The Kroger,Jackson
滑悦,0,7914-1434393169,49,Wal-Mart Stores,内蒙古
严琴,0,4439-1356742420,34,京东,Austin
顾惠,0,1193-1612908953,43,Schwarz Group,长沙
詹伟,1,5291-1602098478,18,Schwarz Group,Detroit
詹承,1,3629-1543329195,38,聚划算,拉萨
解都平,1,0297-1402844429,41,Amazon.com,Jackson
焦怡,0,3629-1778395741,17,唯品会,拉萨
尚信安,1,3995-1574825882,49,京东,北京
殷九昌,1,0169-1728687531,46,Costco Wholesale,Columbia
韦璧,0,4439-1478621753,47,Amazon.com,Austin
时九松,1,3995-1612460980,17,唯品会,北京
祝中荔,0,1084-1303128793,22,蘑菇街,重庆
吴博,1,4439-1307758232,23,唯品会,Austin
邹义弘,1,3995-1710861595,25,京东,北京
林上凤,0,5291-1571895167,34,Amazon.com,Detroit
毕无青,0,0566-1515329343,46,Wal-Mart Stores,武汉
隗卿,0,1084-1438738628,49,天猫,重庆
云仁新,1,3995-1719569007,36,京东,北京
伍会,1,1241-1756096916,23,拼多多,成都
舒芝,0,9379-1498276101,38,Wal-Mart Stores,Philadelphia
夹谷婉,0,9379-1556261036,40,The Kroger,Philadelphia
尚建,1,1084-1502920474,44,拼多多,重庆
隗信柔,0,4439-1688624786,32,Costco Wholesale,Austin
万俟巧,0,0297-1381464715,29,天猫,Jackson
国九思,0,1193-1552960107,41,聚划算,长沙
薛电学,1,4439-1456696983,33,京东,Austin
颜凯坚,1,6423-1513975325,22,聚划算,石家庄
俞贝惠,0,1193-1504134555,23,蘑菇街,长沙
贺加利,1,1193-1636781379,45,Schwarz Group,长沙
井毅,1,7914-1713190126,39,Wal-Mart Stores,内蒙古
宇文弘,1,7914-1752164302,22,Amazon.com,内蒙古
成中会,1,7914-1682610428,24,唯品会,内蒙古
侯义珠,0,3995-1561635415,36,聚划算,北京
康荣,0,4439-1509174303,51,京东,Austin
杜心,1,1084-1409461180,34,唯品会,重庆
红盛,1,1193-1429625488,35,Wal-Mart Stores,长沙
湛笑环,0,0297-1390681817,36,Amazon.com,Jackson
伊佳,0,6423-1419228029,49,The Kroger,石家庄
苍笑素,0,1193-1532862495,29,Costco Wholesale,长沙
汤泰,1,9672-1741874984,27,The Kroger,Bismarck
尚伟,1,1241-1604780206,39,京东,成都
鲁贝霄,0,1084-1365523403,32,The Kroger,重庆
鱼庆,1,7914-1621026109,21,蘑菇街,内蒙古
杭新,1,1084-1626681853,39,Costco Wholesale,重庆
宣倩,0,5291-1492039214,29,聚划算,Detroit
计悦,0,1193-1481927905,19,天猫,长沙
史翔,1,0566-1492451622,31,拼多多,武汉
汤友嘉,0,1241-1477062703,32,淘宝,成都
迟公有,1,3995-1652539777,42,天猫,北京
于腾,1,4439-1468620825,34,聚划算,Austin
乐宁,0,6423-1613168918,31,天猫,石家庄
汤仁彪,1,3995-1719515685,47,蘑菇街,北京
都电朗,1,0566-1497117662,29,拼多多,武汉
姬丽,0,0169-1603329971,40,京东,Columbia
官欧霞,0,1241-1634985415,36,京东,成都
谷九云,0,6423-1374747843,29,Wal-Mart Stores,石家庄
晏笑明,1,3629-1584158176,33,天猫,拉萨
山金振,1,7914-1378987672,24,The Kroger,内蒙古
姚明,1,1084-1329015092,26,Amazon.com,重庆
裴无强,1,3629-1565283296,46,京东,拉萨
冯薇,0,7914-1518459130,26,蘑菇街,内蒙古
龙英,0,0297-1391620793,26,淘宝,Jackson
狄都发,1,9379-1774625145,44,淘宝,Philadelphia
牛惠,0,3629-1788731092,27,淘宝,拉萨
邬九婷,0,4439-1582868120,32,蘑菇街,Austin
谷琬,0,3995-1421366608,27,淘宝,北京
牧飞,1,1241-1350901997,37,天猫,成都
荀敬,1,0169-1705430335,25,Schwarz Group,Columbia
平天,1,7914-1333665035,47,Costco Wholesale,内蒙古
徒司有,1,3629-1367696754,49,The Kroger,拉萨
东郭孝贞,0,0566-1465094422,51,Costco Wholesale,武汉
荀无红,0,7914-1784632743,40,拼多多,内蒙古
焦影,0,1084-1320067110,34,京东,重庆
褚宜,0,4439-1738518676,29,The Kroger,Austin
苍豪,1,1241-1642901280,34,唯品会,成都
严上玉,0,6423-1315951641,35,拼多多,石家庄
乐孝奇,1,7914-1573074426,33,拼多多,内蒙古
通无莲,0,1193-1375337394,33,蘑菇街,长沙
申屠上仪,0,6423-1499564885,23,蘑菇街,石家庄
舒芝,0,0297-1498276101,33,Wal-Mart Stores,Jackson
巴九玲,0,1084-1773894304,32,蘑菇街,重庆
贾信莺,0,0297-1633054586,32,京东,Jackson
屈思,1,6423-1331566137,26,Wal-Mart Stores,石家庄
马上先,1,6423-1686710368,36,蘑菇街,石家庄
苍斌,1,4439-1771906259,44,拼多多,Austin
卞黛,0,1084-1712048313,48,The Kroger,重庆
汪电淑,0,5291-1549935537,46,Amazon.com,Detroit
龙英,0,9379-1391620793,30,淘宝,Philadelphia
昌礼辉,1,1084-1335466755,33,The Kroger,重庆
石星,1,0169-1454445342,24,淘宝,Columbia
强电蓓,0,9672-1625593302,24,Amazon.com,Bismarck
习钰安,1,7914-1337625348,28,蘑菇街,内蒙古
庄歌颖,0,1084-1311288475,28,Wal-Mart Stores,重庆
邓环,0,3995-1477137315,46,淘宝,北京
单信民,1,0297-1676348227,39,蘑菇街,Jackson
居都福,1,0297-1492711887,25,京东,Jackson
何马勇,1,1193-1620281427,42,聚划算,长沙
井瑗,0,3995-1404819423,33,蘑菇街,北京
徒司荔,0,3629-1570969738,35,淘宝,拉萨
于电融,0,1193-1451397393,32,蘑菇街,长沙
丘左礼辰,1,3629-1756949525,35,Costco Wholesale,拉萨
徐霄,0,6423-1582463035,45,天猫,石家庄
茅昌,1,4439-1694839238,23,唯品会,Austin
杜电飘,0,9379-1492946438,37,Amazon.com,Philadelphia
王冰,0,4439-1411896863,41,淘宝,Austin
毛好悦,0,3629-1364644762,27,The Kroger,拉萨
梁段舒,0,4439-1579627561,33,Schwarz Group,Austin
季信天,1,1193-1420246410,24,淘宝,长沙
单婵,0,7914-1558191992,39,Costco Wholesale,内蒙古
耿嘉,0,1084-1370280620,42,京东,重庆
周马全,1,1241-1601675155,21,Schwarz Group,成都
岑霄,0,1193-1714345638,25,京东,长沙
雷茜,0,4439-1326036760,45,聚划算,Austin
郭歌超,1,1084-1391538122,31,京东,重庆
禹言,1,3629-1504604863,46,Costco Wholesale,拉萨
荀卡琰,0,5291-1793076555,17,唯品会,Detroit
傅都子,1,4439-1376400546,37,淘宝,Austin
瞿珊,0,6423-1590770502,40,聚划算,石家庄
茹东,1,3629-1307763828,19,Amazon.com,拉萨
史翔,1,6423-1492451622,27,拼多多,石家庄
蔡九伊,0,6423-1638210012,33,蘑菇街,石家庄
曹凯榕,1,1241-1541908906,44,唯品会,成都
阳淳礼莉,0,3995-1441796501,21,The Kroger,北京
路金武,1,6423-1777852034,26,Amazon.com,石家庄
凌发,1,7914-1436681065,48,The Kroger,内蒙古
路好生,1,0566-1307017241,46,京东,武汉
戈歌荣,0,7914-1309751495,47,聚划算,内蒙古
甄卿,0,6423-1712889908,41,Amazon.com,石家庄
鱼平,1,3995-1598161222,35,Costco Wholesale,北京
吕珍,0,0169-1731019360,37,Amazon.com,Columbia
强彩,0,1193-1774822241,49,天猫,长沙
巴歌天,1,1084-1491589673,27,淘宝,重庆
吕无霞,0,9672-1415031537,28,聚划算,Bismarck
居凯霭,0,9379-1325775921,47,京东,Philadelphia
马歌进,1,1193-1684558676,30,唯品会,长沙
令狐卡媛,0,7914-1304497463,29,淘宝,内蒙古
澹台易弘,1,3995-1362039827,33,蘑菇街,北京
姬聪,0,0169-1390494256,43,The Kroger,Columbia
宗歌薇,0,9379-1630653935,43,The Kroger,Philadelphia
史智盛,1,1193-1706666359,30,The Kroger,长沙
娄富,1,7914-1510159529,24,Wal-Mart Stores,内蒙古
隗信柔,0,9379-1688624786,27,Costco Wholesale,Philadelphia
周马桂,0,6423-1315591152,31,京东,石家庄
官欧霞,0,6423-1634985415,36,京东,石家庄
苗贝娟,0,7914-1734103186,33,拼多多,内蒙古
邹卡固,1,9379-1387051173,26,天猫,Philadelphia
房九月,0,7914-1345619642,22,Wal-Mart Stores,内蒙古
韦孝健,1,3629-1756604106,35,拼多多,拉萨
石全,1,3995-1626409787,24,蘑菇街,北京
通茜,0,1084-1572191968,30,The Kroger,重庆
安孝霄,0,3995-1794835221,32,聚划算,北京
梁段舒,0,9379-1579627561,36,Schwarz Group,Philadelphia
吉婉,0,3629-1383539570,22,Schwarz Group,拉萨
上官仪,0,3995-1628306384,52,Wal-Mart Stores,北京
徒司伯,1,9379-1498601116,22,Schwarz Group,Philadelphia
颜功,1,9379-1703270203,37,Schwarz Group,Philadelphia
官欧以,1,0169-1411931824,23,天猫,Columbia
翁凯蓓,0,1193-1662293595,36,聚划算,长沙
冯玉颖,0,1193-1380207233,29,天猫,长沙
孙嘉,0,0169-1382974847,37,淘宝,Columbia
昌友晓,0,1241-1717548942,40,淘宝,成都
谷梁器星,1,1241-1736163798,27,聚划算,成都
庄玉先,1,1241-1467176823,25,Amazon.com,成都
安被佳,0,0169-1353312091,39,拼多多,Columbia
季友波,1,0566-1732979607,35,蘑菇街,武汉
邱好震,1,6423-1738528698,44,Amazon.com,石家庄
邬兴,1,9672-1398045321,24,拼多多,Bismarck
国凯策,1,1193-1352548426,25,Wal-Mart Stores,长沙
沃智贞,0,3629-1673808836,29,聚划算,拉萨
孔珍,0,1241-1595661642,40,拼多多,成都
贝娅,0,5291-1592854428,49,Wal-Mart Stores,Detroit
童固,1,1241-1586034058,23,唯品会,成都
娄贝柔,0,0297-1474454778,25,拼多多,Jackson
郭梦,0,4439-1684680473,45,Wal-Mart Stores,Austin
韶电彬,1,7914-1428392817,47,The Kroger,内蒙古
牛振,1,3995-1407360328,34,天猫,北京
孙端以,1,6423-1708820410,46,Wal-Mart Stores,石家庄
许金洁,0,1084-1525064736,23,拼多多,重庆
牛欢,0,1084-1573287446,20,Amazon.com,重庆
潘玉毅,1,0297-1468192875,32,Amazon.com,Jackson
谷宰金维,1,3629-1319722094,38,拼多多,拉萨
淳于中群,1,1241-1474202744,36,聚划算,成都
花壮,1,1193-1698973825,38,京东,长沙
侯云,0,0297-1601796209,28,京东,Jackson
卜金思,0,0297-1709998727,32,唯品会,Jackson
宋都姣,0,6423-1673880249,29,Wal-Mart Stores,石家庄
都仁江,1,1084-1598977275,51,Schwarz Group,重庆
都仁江,1,3995-1598977275,46,Schwarz Group,北京
门西文,1,7914-1707819513,36,Wal-Mart Stores,内蒙古
万凯富,1,9672-1690538799,31,Schwarz Group,Bismarck
童敬,1,3995-1470612622,44,Costco Wholesale,北京
丘司永,1,9379-1682015458,22,拼多多,Philadelphia
茹霞,0,0169-1448286265,38,天猫,Columbia
郝祥,1,0566-1690064923,24,Wal-Mart Stores,武汉
解宁,1,3995-1513141969,41,Costco Wholesale,北京
邵雅,0,9379-1326158682,25,拼多多,Philadelphia
万器彩,0,3629-1675955306,45,天猫,拉萨
穆笑义,1,3629-1393540157,41,淘宝,拉萨
寿淑,0,0297-1365842994,50,京东,Jackson
明钰婵,0,9379-1530635970,27,蘑菇街,Philadelphia
粱江,1,0169-1795504640,29,淘宝,Columbia
黎中磊,1,7914-1401876904,22,蘑菇街,内蒙古
江中震,1,6423-1603599902,44,淘宝,石家庄
甄新,1,0566-1537407905,22,京东,武汉
寇仉媛,0,1241-1696985681,17,The Kroger,成都
古器黛,0,9672-1704270950,19,聚划算,Bismarck
鲍钰馨,0,9672-1775308018,44,The Kroger,Bismarck
康波,1,1193-1758480851,35,京东,长沙
夹谷婉,0,4439-1556261036,45,The Kroger,Austin
卫忠伊,0,3629-1713431245,52,Amazon.com,拉萨
